"","Date","Open","High","Low","Close","Volume","Change","Order","RSI","EMA","S.P500"
"1655",2017-06-27,19.85,20.99,19.379999,20.84,9208500,5.981525954,"sell",39.31638191,21.88812816,2419.379883
"1656",2017-06-28,20.17,20.65,19.549999,19.709999,6385800,-5.574814646,"buy",35.90187102,21.63187767,2440.689941
"1657",2017-06-29,19.82,25.610001,19.73,21.620001,29082000,9.249278804,"sell",44.65168881,21.63048041,2419.699951
"1658",2017-06-30,20.67,22.469999,20.33,21.120001,12919900,-2.339835228,"buy",42.9970134,21.57042401,2423.409912
"1659",2017-07-03,20.41,21.709999,20.190001,21.68,5773500,2.616967038,"hold",45.4358583,21.5833153,2429.01001
"1660",2017-07-05,21.34,22.879999,21.049999,21.620001,9749700,-0.277131811,"buy",45.21266144,21.58763127,2432.540039
"1661",2017-07-06,22.41,24.18,22.200001,23.780001,14323300,9.522607485,"sell",53.97767053,21.84555712,2409.75
"1662",2017-07-07,22.83,23.290001,22.1,22.17,9919700,-7.010490969,"sell",47.83477687,21.88372687,2425.179932
"1663",2017-07-10,22.1,22.190001,20.73,21.09,8027400,-4.994102914,"hold",44.20088409,21.79034724,2427.429932
"1664",2017-07-11,21.200001,22.950001,20.709999,20.950001,13628700,-0.666030039,"sell",43.7370489,21.69148297,2425.530029
"1665",2017-07-12,20.23,20.290001,19.65,19.82,9941000,-5.54471652,"sell",40.08101645,21.47130851,2443.25
"1666",2017-07-13,19.709999,19.790001,19.26,19.370001,8285100,-2.296599986,"sell",38.69387671,21.22409586,2447.830078
"1667",2017-07-14,19.33,19.4,18.42,18.67,8468400,-3.680757149,"sell",36.57346872,20.92361399,2459.27002
"1668",2017-07-17,18,18.1,17.620001,17.76,9076500,-4.996921999,"sell",33.96750562,20.55142411,2459.139893
"1669",2017-07-18,18.09,18.440001,17.299999,17.33,11494400,-2.450963384,"sell",32.77897803,20.17243304,2460.610107
"1670",2017-07-19,16.93,17.09,16.59,16.9,8700100,-2.51254818,"sell",31.58866401,19.78744092,2473.830078
"1671",2017-07-20,16.6,17.26,16.559999,16.6,8261200,-1.791092657,"sell",30.74969778,19.41244787,2473.449951
"1672",2017-07-21,16.77,16.92,16.299999,16.309999,6372400,-1.762434004,"sell",29.92238016,19.04745388,2472.540039
"1673",2017-07-24,16.18,16.209999,15.57,15.69,6193200,-3.875478858,"hold",28.17695337,18.65245931,2469.909912
"1674",2017-07-25,15.62,15.99,15.55,15.87,5908700,1.140696779,"hold",29.46338385,18.32511116,2477.129883
"1675",2017-07-26,15.63,15.99,15.44,15.93,6325000,0.377358938,"hold",29.91401077,18.04333337,2477.830078
"1676",2017-07-27,15.65,17.92,15.65,16.16,18967100,1.433492917,"buy",31.71491103,17.82176474,2475.419922
"1677",2017-07-28,16.82,17.290001,16.379999,16.5,11634800,2.082132781,"hold",34.39845245,17.66626301,2472.100098
"1678",2017-07-31,16.02,16.65,15.98,16.27,8361200,-1.403745968,"sell",33.44104701,17.50199677,2470.300049
"1679",2017-08-01,15.89,16.129999,15.72,15.82,6464400,-2.804795889,"hold",31.58855595,17.3041148,2476.350098
"1680",2017-08-02,15.68,16.6,15.63,16,11192600,1.13137599,"buy",33.18299504,17.15068953,2477.570068
"1681",2017-08-03,16.02,16.540001,16.01,16.440001,8996800,2.712872822,"hold",37.04552302,17.06707911,2472.159912
"1682",2017-08-04,16.200001,16.389999,15.89,16.26,7591800,-1.100934634,"sell",36.12548814,16.97212863,2476.830078
"1683",2017-08-07,16.200001,16.299999,15.88,15.89,3198100,-2.301812357,"buy",34.24291942,16.84481938,2480.909912
"1684",2017-08-08,15.92,17.24,15.5,16.73,15289300,5.151353445,"buy",41.67414543,16.83131122,2474.919922
"1685",2017-08-09,17.68,18.610001,16.950001,17.549999,22747500,4.785037793,"buy",47.86774569,16.91586272,2474.02002
"1686",2017-08-10,18.540001,22.469999,18.540001,22.25,43384700,23.72881157,"buy",68.50904994,17.54340828,2438.209961
